timestamp,rpm,temp,humidity,gasdifference,status
06-09-2024 13:50,7727,32,78,135,normal
06-09-2024 13:55,6151,27,62,178,normal
06-09-2024 14:00,8789,46,81,195,error with airflow
06-09-2024 14:05,4369,21,56,124,error with rpm
06-09-2024 14:10,4303,19,51,112,error with airflow
06-09-2024 14:15,4491,15,52,125,error with humidity
06-09-2024 14:20,5060,28,63,164,normal
06-09-2024 14:25,4491,15,52,125,error with airflow
06-09-2024 14:30,6393,31,76,138,normal
06-09-2024 14:35,7575,35,74,139,normal
06-09-2024 14:40,4778,15,51,123,error with humidity
06-09-2024 14:45,7484,28,60,131,normal
06-09-2024 14:50,8197,48,89,194,error with humidity
06-09-2024 14:55,5787,32,63,149,normal
06-09-2024 15:00,4369,21,56,124,error with humidity
06-09-2024 15:05,7969,28,71,146,normal
06-09-2024 15:10,4303,19,51,112,error with rpm
06-09-2024 15:15,7303,35,63,133,normal
06-09-2024 15:20,6090,30,78,148,normal
06-09-2024 15:25,8445,45,81,192,error with airflow
06-09-2024 15:30,5666,28,75,164,normal
06-09-2024 15:35,8445,45,81,192,error with rpm
06-09-2024 15:40,7272,35,60,175,normal
06-09-2024 15:45,8536,45,84,187,error with humidity
06-09-2024 15:50,5333,32,79,147,normal
06-09-2024 15:55,5181,35,77,151,normal
07-09-2024 01:05,5424,0,54,119,error with temp
06-09-2024 16:00,5818,29,61,147,normal
06-09-2024 16:05,4778,15,51,123,error with rpm
06-09-2024 16:10,5121,35,63,143,normal
06-09-2024 16:15,5969,39,69,168,normal
06-09-2024 16:20,8997,46,87,199,error with rpm
06-09-2024 16:25,8935,47,86,192,error with temp
06-09-2024 16:30,7878,31,67,175,normal
06-09-2024 16:35,5303,34,79,177,normal
06-09-2024 16:40,4795,19,56,128,error with rpm
06-09-2024 16:45,4849,21,57,120,error with temp
06-09-2024 16:50,5000,37,78,140,normal
06-09-2024 16:55,4491,15,52,125,error with temp
06-09-2024 17:00,7121,32,61,160,normal
06-09-2024 17:05,6939,27,61,138,normal
06-09-2024 17:10,6333,33,74,172,normal
06-09-2024 17:15,8361,48,86,191,error with temp
06-09-2024 17:20,5848,33,65,149,normal
06-09-2024 17:25,6212,38,77,135,normal
06-09-2024 17:30,4667,18,52,124,error with temp
06-09-2024 17:35,4681,19,54,119,error with temp
06-09-2024 17:40,5757,38,67,176,normal
06-09-2024 17:45,5696,35,77,154,normal
06-09-2024 17:50,8445,45,81,192,error with humidity
06-09-2024 17:55,7454,29,79,158,normal
06-09-2024 18:00,7393,26,63,147,normal
07-09-2024 01:05,5424,0,54,119,error with temp
06-09-2024 18:05,7545,31,67,151,normal
06-09-2024 18:10,6181,26,77,135,normal
06-09-2024 18:15,8935,47,86,192,error with rpm
06-09-2024 18:20,7606,25,62,178,normal
06-09-2024 18:25,8197,48,89,194,error with temp
06-09-2024 18:30,4369,21,56,124,error with airflow
06-09-2024 18:35,8536,45,84,187,error with airflow
06-09-2024 18:40,6424,28,67,179,normal
06-09-2024 18:45,7848,37,76,176,normal
06-09-2024 18:50,4594,18,56,122,error with temp
06-09-2024 18:55,8935,47,86,192,error with airflow
06-09-2024 19:00,6848,30,64,138,normal
06-09-2024 19:05,7212,33,70,168,normal
07-09-2024 01:00,0,42,85,191,error with rpm
06-09-2024 19:10,6000,37,62,154,normal
06-09-2024 19:15,6303,39,70,177,normal
06-09-2024 19:20,4369,21,56,124,error with temp
06-09-2024 19:25,8997,46,87,199,error with humidity
06-09-2024 19:30,6878,28,78,139,normal
06-09-2024 19:35,4667,18,52,124,error with airflow
06-09-2024 19:40,4681,19,54,119,error with rpm
06-09-2024 19:45,8036,42,85,191,error with temp
06-09-2024 19:50,8527,47,82,185,error with rpm
06-09-2024 19:55,6606,27,76,157,normal
06-09-2024 20:00,5151,33,66,136,normal
06-09-2024 20:05,8036,42,85,191,error with airflow
06-09-2024 20:10,5090,25,62,157,normal
06-09-2024 20:15,8197,48,89,194,error with airflow
06-09-2024 20:20,6484,28,70,158,normal
06-09-2024 20:25,6060,26,73,132,normal
07-09-2024 01:00,0,42,85,191,error with rpm
06-09-2024 20:30,7424,29,68,166,normal
06-09-2024 20:35,7333,39,71,135,normal
06-09-2024 20:40,6030,30,69,165,normal
07-09-2024 01:05,5424,0,54,119,error with temp
06-09-2024 20:45,5212,36,67,163,normal
06-09-2024 20:50,4972,17,50,122,error with rpm
06-09-2024 20:55,7757,29,72,130,normal
06-09-2024 21:00,7515,36,61,135,normal
06-09-2024 21:05,4667,18,52,124,error with humidity
06-09-2024 21:10,8361,48,86,191,error with airflow
06-09-2024 21:15,7696,30,77,149,normal
06-09-2024 21:20,5242,33,79,147,normal
06-09-2024 21:25,5393,29,72,159,normal
07-09-2024 01:00,0,42,85,191,error with rpm
06-09-2024 21:30,6787,25,71,133,normal
06-09-2024 21:35,4795,19,56,128,error with humidity
06-09-2024 21:40,4303,19,51,112,error with temp
06-09-2024 21:45,5515,26,65,136,normal
06-09-2024 21:50,7181,35,66,164,normal
06-09-2024 21:55,8129,43,89,185,error with airflow
06-09-2024 22:00,4795,19,56,128,error with temp
06-09-2024 22:05,4972,17,50,122,error with humidity
06-09-2024 22:10,8527,47,82,185,error with airflow
06-09-2024 22:15,6909,28,75,152,normal
06-09-2024 22:20,6636,25,63,172,normal
06-09-2024 22:25,8197,48,89,194,error with rpm
06-09-2024 22:30,6515,28,76,172,normal
06-09-2024 22:35,4594,18,56,122,error with airflow
06-09-2024 22:40,6757,35,60,155,normal
06-09-2024 22:45,6454,37,76,130,normal
06-09-2024 22:50,7666,39,65,143,normal
06-09-2024 22:55,5636,27,63,148,normal
06-09-2024 23:00,6727,26,71,132,normal
06-09-2024 23:05,4795,19,56,128,error with airflow
06-09-2024 23:10,8789,46,81,195,error with temp
06-09-2024 23:15,6121,26,72,161,normal
06-09-2024 23:20,4594,18,56,122,error with humidity
06-09-2024 23:25,4972,17,50,122,error with airflow
06-09-2024 23:30,5030,28,69,134,normal
06-09-2024 23:35,6575,30,79,174,normal
06-09-2024 23:40,8789,46,81,195,error with humidity
06-09-2024 23:45,4972,17,50,122,error with temp
06-09-2024 23:50,4303,19,51,112,error with humidity
06-09-2024 23:55,8361,48,86,191,error with rpm
07-09-2024 00:00,8000,31,67,171,normal
07-09-2024 00:05,4491,15,52,125,error with rpm
07-09-2024 00:10,7636,28,65,173,normal
07-09-2024 00:15,7242,28,64,141,normal
07-09-2024 00:20,8997,46,87,199,error with temp
07-09-2024 00:25,4681,19,54,119,error with airflow
07-09-2024 00:30,5606,33,70,150,normal
07-09-2024 00:35,7151,30,77,147,normal
07-09-2024 00:40,8536,45,84,187,error with rpm
07-09-2024 00:45,5424,25,60,137,normal
07-09-2024 00:50,7787,36,78,142,normal
07-09-2024 00:55,8036,42,85,191,error with rpm
07-09-2024 01:00,0,42,85,191,error with rpm
07-09-2024 01:05,5424,0,54,119,error with temp
07-09-2024 01:10,7636,32,0,191,error with humidity
07-09-2024 01:15,6575,31,85,0,error with airflow
